Deeded_Acreage,Year_Built,HEATED_AREA,Accrued_Assessed_Condition_Pct
0.11,2019,1628,97
0.16,1910,2662,70
0.28,2015,3682,94
10.1,2005,7233,78
1.17,1965,1890,43
0.29,1970,1875,81
0.23,2017,2116,96
0.23,2017,2236,96
0.61,1968,3944,83
1.82,1977,2627,62
0.1,1960,846,62
1,1959,924,94
0.17,1924,10219,81
0.32,1960,2253,76
0.34,1965,925,69
0.28,1955,952,73
0.37,1964,1649,81
1.46,1994,1115,76
1.27,1966,2320,65
0.5,2017,2436,96
0.19,1960,1960,73
0.45,1969,2690,69
0.46,1972,1510,74
0.29,1956,1508,67
0.48,1954,824,73
0.26,1962,2138,96
0.9,1952,1372,50
0.27,1959,980,57
0.49,2017,3314,96
0.22,1958,1866,93
0.31,1961,1184,65
0.19,1957,780,53
0.44,1968,2072,70
0.45,1966,2916,91
0.57,1956,2140,61
0.27,1947,972,47
0.12,1928,1344,90
0.27,1941,2435,87
0.67,2006,6891,91
6.49,1930,1876,57
0.34,2007,4116,91
0.3,1952,1464,50
0.54,1962,1494,63
0.26,1950,1734,94
0.22,2002,3128,94
0.23,1953,1012,94
0.12,1949,1178,77
1.09,1966,1480,84
3.66,1975,1721,70
0.51,1952,1728,95
0.47,1969,1978,78
0.12,1946,1338,57
0.21,1950,1096,88
0.11,2020,1704,97
0.3,1962,1000,68
1.81,1999,1980,66
0.42,1966,2691,84
0.64,1963,1414,64
0.46,1961,1215,76
0.2,1943,1380,87
0.51,1962,1948,78
0.27,1960,1056,65
0.48,1949,1098,58
0.32,1967,1421,35
0.3,2015,3912,95
0.15,1940,924,73
0.08,2019,1844,97
0.36,1955,729,66
0.22,1950,1374,93
0.16,1950,840,45
0.39,1901,4027,84
0.13,1910,2600,73
0.39,2019,4624,97
0.22,1948,1184,94
0.24,2018,4208,97
0.51,1970,1677,63
0.6,1970,1833,88
0.35,1955,1375,52
0.29,1968,1479,77
0.12,1924,1964,91
0.36,1963,950,62
2.62,1995,3801,81
0.11,1957,1414,84
0.53,1947,3745,88
0.67,1968,3135,73
0.27,1958,1634,33
0.29,1960,1239,60
0.28,1968,1308,72
0.41,1970,2286,67
0.5,1957,1491,53
0.29,1960,1080,67
1.51,1923,2640,62
0.23,1960,1000,63
0.28,1968,1888,86
0.53,1965,2207,93
0.4,1960,1399,67
0.49,1955,1100,60
0.27,1958,1673,94
0.12,1915,1402,73
0.15,1905,1828,88
0.16,1910,1122,33
0.11,1917,1711,84
0.13,2018,1848,97
0.34,1965,1800,57
0.61,1956,3784,65
2,1969,2216,3
0.3,1972,1468,91
0.51,2018,4966,97
0.48,1973,1590,62
0.18,1928,1618,88
0.41,1964,3391,38
0.48,2015,2714,94
0.2,1966,1446,96
0.89,1959,1530,62
0.15,1980,1770,55
0.23,1950,1344,33
0.19,1955,858,93
0.39,1971,1589,68
0.2,1960,975,66
0.67,1956,1800,61
0.17,1959,989,54
0.19,1954,1026,94
0.2,1949,1500,93
0.46,1954,1767,81
0.2,1949,994,80
0.24,1954,1970,53
0.31,1955,1404,67
0.42,1962,3430,62
0.46,1954,1378,70
0.59,1959,1318,54
0.3,1960,1032,88
0.32,1968,1674,72
0.44,1969,3890,93
0.63,2008,4970,92
0.58,1980,1010,73
0.29,1969,1817,70
0.33,1970,1676,70
0.3,1950,1720,78
0.25,1943,2041,69
0.37,1971,1107,71
0.47,1958,1558,67
0.35,1961,1125,78
0.2,2017,2983,96
0.2,1944,1040,88
0.77,1969,2141,69
0.28,2016,3607,96
0.46,1957,1100,70
0.33,1963,1112,84
0.24,1952,1240,25
0.39,1966,1786,70
0.19,1955,1396,91
0.46,1966,2073,78
0.86,1972,1770,79
0.85,1984,1280,78
0.19,1967,1989,78
11.54,1970,1856,60
0.19,1948,1072,92
0.76,1971,1989,68
0.31,1980,1440,73
0.29,1963,1404,87
1.36,1957,1632,53
0.31,1972,2150,79
0.28,1952,1026,80
0.3,1932,2694,78
0.18,1951,1403,88
0.35,1968,1000,91
0.1,2018,1654,97
0.3,1954,1379,12
0.76,1966,1392,76
0.36,1954,3952,77
2.4,1981,864,29
0.37,1966,2263,70
0.43,1953,950,50
0.33,1960,1932,69
0.21,1955,1049,60
0.36,1967,2000,66
0.07,1903,2148,80
0.32,1960,2756,91
0.29,1955,2095,73
0.52,1956,1296,60
0.54,1954,2189,70
0.32,1940,4308,91
0.39,2019,8912,97
0.55,1980,1905,81
0.28,1959,1070,73
0.22,1961,1768,73
0.22,1958,1168,83
0.17,1920,1695,88
0.17,1926,1497,96
0.42,1950,4438,95
0.28,1957,1352,81
0.4,1962,1614,68
0.15,1910,2405,84
0.39,1971,1598,68
0.25,1960,1511,66
0.17,2020,3162,97
0.7,1971,1032,76
0.41,1971,2093,84
1.41,1971,1404,79
0.17,1948,1302,58
0.43,1964,2700,70
0.42,1962,1815,73
0.29,1970,2004,93
3.49,1978,6784,72
0.87,2015,4174,94
0.22,1920,1291,58
0.36,1972,2684,94
0.47,1966,2309,65
0.17,1926,1308,101
0.16,1952,1369,93
0.3,1969,1618,67
0.36,1957,1120,73
0.37,1948,822,78
0.35,1958,2447,67
0.77,1979,2341,72
0.92,1998,1734,83
8.37,1998,4224,97
0.77,1985,3124,87
0.71,1974,2051,69
0.59,1974,2493,78
0.75,1972,3445,87
0.71,2015,2402,94
0.45,1960,2260,34
0.15,1948,1470,91
0.13,2012,2486,94
0.24,1956,1040,82
0.45,2015,3093,94
0.17,1953,1682,88
0.61,1979,2399,91
0.15,1952,2079,60
2.54,1965,3916,90
0.18,1948,1791,92
0.23,1950,975,81
0.44,1963,1452,93
0.1,2019,1526,97
0.31,1960,1075,91
0.15,1947,750,84
0.3,1966,1345,76
0.34,1958,1824,67
0.49,1960,2612,66
0.19,1920,2050,43
0.16,1926,2795,41
0.84,1968,2544,73
